ens_gene,Symbol,Uniq_syms,entrez,Gene_name,1_00_2day,2_00_2day,3_00_2day,1_05_2day,2_05_2day,3_05_2day,1_20_2day,2_20_2day,3_20_2day,1_40_2day,2_40_2day,3_40_2day
ENSG00000227232.5,NA,ENSG00000227232.5,NA,NA,13,10,19,21,16,8,17,16,5,13,15,8
ENSG00000278267.1,MIR6859-2,MIR6859-2_ENSG00000278267.1,102465909,microRNA 6859-2,0,1,3,3,0,1,1,0,0,0,1,1
ENSG00000268903.1,NA,ENSG00000268903.1,NA,NA,2,3,7,4,0,3,3,4,2,8,4,2
ENSG00000269981.1,NA,ENSG00000269981.1,NA,NA,2,3,7,1,2,7,3,4,4,6,4,0
ENSG00000241860.7,NA,ENSG00000241860.7,NA,NA,3,0,1,2,4,0,1,3,0,2,5,0
ENSG00000279457.4,NA,ENSG00000279457.4,NA,NA,10,14,12,15,11,10,13,15,8,14,13,5
ENSG00000228463.10,RPL23AP21,RPL23AP21,728481,ribosomal protein L23a pseudogene 21,4,8,10,5,5,10,2,4,5,6,5,1
ENSG00000237094.12,NA,ENSG00000237094.12,NA,NA,5,2,5,4,4,8,5,7,6,2,6,0
ENSG00000230021.10,LOC101928626,LOC101928626,101928626,uncharacterized LOC101928626,0,0,2,0,1,4,0,4,3,0,2,3
ENSG00000225972.1,MTND1P23,MTND1P23,100887749,MT-ND1 pseudogene 23,4,4,8,4,3,2,6,2,3,4,4,14
ENSG00000225630.1,MTND2P28,MTND2P28,100652939,MT-ND2 pseudogene 28,2391,2017,4721,2797,3082,3246,2270,2235,2845,2362,2943,7273
ENSG00000237973.1,MTCO1P12,MTCO1P12,107075141,MT-CO1 pseudogene 12,1359,1065,1024,1444,1182,1422,1484,1542,1012,1006,2382,3303
ENSG00000229344.1,MTCO2P12,MTCO2P12,107075310,MT-CO2 pseudogene 12,21,29,33,24,22,25,21,19,29,21,28,51
ENSG00000240409.1,MTATP8P1,MTATP8P1,106480795,MT-ATP8 pseudogene 1,0,1,0,1,0,0,3,0,0,2,1,2
ENSG00000248527.1,MTATP6P1,MTATP6P1,106480796,MT-ATP6 pseudogene 1,10844,9071,18815,11825,13697,14381,10380,10177,12584,10057,12876,51284
