original_rna_sample_id,experiment_id,source_filename,original_rna_sample_id,ias_conc,rep,day
mc00409_1_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_05_2day,0.5,1,2
mc00409_1_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_05_2day,0.5,1,2
mc00409_2_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_05_2day,0.5,2,2
mc00409_2_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_05_2day,0.5,2,2
mc00409_3_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_05_2day,0.5,3,2
mc00409_3_05_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_05_2day,0.5,3,2
mc00409_1_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_00_2day,0.0,1,2
mc00409_1_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_00_2day,0.0,1,2
mc00409_2_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_00_2day,0.0,2,2
mc00409_2_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_00_2day,0.0,2,2
mc00409_3_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_00_2day,0.0,3,2
mc00409_3_00_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_00_2day,0.0,3,2
mc00409_1_20_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_20_2day,2.0,1,2
mc00409_2_20_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_20_2day,2.0,2,2
mc00409_3_20_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_20_2day,2.0,3,2
mc00409_1_40_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_1_40_2day,4.0,1,2
mc00409_2_40_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_2_40_2day,4.0,2,2
mc00409_3_40_2day,MC00409,MC00409_Merged_PoolSize.csv,MC00409_3_40_2day,4.0,3,2
mc00407_1_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_1_20_12week,2.0,1,84
mc00407_1_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_1_20_12week,2.0,1,84
mc00407_2_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_2_20_12week,2.0,2,84
mc00407_2_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_2_20_12week,2.0,2,84
mc00407_3_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_3_20_12week,2.0,3,84
mc00407_3_20_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_3_20_12week,2.0,3,84
mc00407_1_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_1_00_12week,0.0,1,84
mc00407_1_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_1_00_12week,0.0,1,84
mc00407_2_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_2_00_12week,0.0,2,84
mc00407_2_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_2_00_12week,0.0,2,84
mc00407_3_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_3_00_12week,0.0,3,84
mc00407_3_00_12week,MC00407,MC00407_Merged_PoolSize.csv,MC00407_3_00_12week,0.0,3,84
